004C	Modern Police Station
004D	Classic Police Station
004E	Cafe
004F	Reset Center
00A8	Yellow Bench
00A9	Blue Bench
00AA	Wood Bench
00AB	Metal Bench
00AC	Log Bench
00AD	Modern Bench
00AE	Fairy-Tale Bench
00AF	Zen Bench
00B0	Flower Bed
00B1	Water Fountain
00B2	Instrument Shelter
00B3	Sandbox
00B4	Garbage Can
00B5	Pile of Pipes
00B6	Water Well
00B7	Fountain
00B8	Tire Toy
00B9	Jungle Gym
00BA	Park Clock
00BB	Modern Clock
00BC	Fairy-Tale Clock
00BD	Zen Clock
00BE	Street Lamp
00BF	Round Streetlight
00C0	Streetlight
00C1	Modern Streetlight
00C2	Fairy-Tale Streetlight
00C3	Zen Streetlight
00C4	Balloon Arch
00C5	Flower Arch
00C6	Campsite
00C7	Picnic Blanket
00C8	Hammock
00C9	Fire Pit
00CA	Camping Cot
00CB	Outdoor Chair
00CC	Torch
00CD	Zen Garden
00CE	Hot Spring
00CF	Geyser
00D0	Statue Fountain
00D1	Stone Tablet
00D2	Water Pump
00D3	Wisteria Trellis
00D4	Bell
00D5	Zen Bell
00D6	Scarecrow
00D7	Race of Rice
00D8	Fence
00D9	Bus Stop
00DA	Fire Hydrant
00DB	Traffic Signal
00DC	Custom-Design Sign
00DD	Face-Cutout Standee
00DE	Caution Sign
00DF	Do-Not-Enter Sign
00E0	Yield Sign
00E1	Cube Sculpture
00E2	Archway Sculpture
00E3	Chair Sculpture
00E4	Illuminated Heart
00E5	Illuminated Arch
00E6	Illuminated Clock
00E7	Illuminated Tree
00E8	Stadium Light
00E9	Video Screen
00EA	Drilling Rig
00EB	Parabolic Antenna
00EC	Solar Panels
00ED	Wind Turbine
00EE	Windmill
00EF	Lighthouse
00F0	Tower
00F1	Stonehenge
00F2	Totem Pole
00F3	Moai Statue
00F4	Pyramid
00F5	Sphinx
00F6	Circle Topiary
00F7	Square Topiary
00F8	Tulip Topiary
00F9	Flower Clock
0090	cobblestone bridge (N-S)
0091	cobblestone bridge (SW-NE)
0092	cobblestone bridge (NW-SE)
0093	cobblestone bridge (W-E)
0094	suspension bridge (N-S)
0095	suspension bridge (SW-NE)
0096	suspension bridge (NW-SE)
0097	suspension bridge (W-E)
0098	brick bridge (N-S)
0099	brick bridge (SW-NE)
009A	brick bridge (NW-SE)
009B	brick bridge (W-E)
009C	modern bridge (N-S)
009D	modern bridge (SW-NE)
009E	modern bridge (NW-SE)
009F	modern bridge (W-E)
00A0	zen bridge (N-S)
00A1	zen bridge (SW-NE)
00A2	zen bridge (NW-SE)
00A3	zen bridge (W-E)
00A4	fairy tale bridge (N-S)
00A5	fairy tale bridge (SW-NE)
00A6	fairy tale bridge (NW-SE)
00A7	fairy tale bridge (W-E)
0000	Player 1 House
0001	Player 2 House
0002	Player 3 House
0003	Player 4 House
0004	Mailbox Only (Player 1)
0005	Mailbox Only (Player 2)
0006	Mailbox Only (Player 3)
0007	Mailbox Only (Player 4)
0008	Villager 1
0009	Villager 2
000A	Villager 3
000B	Villager 4
000C	Villager 5
000D	Villager 6
000E	Villager 7
000F	Villager 8
0010	Villager 9
0011	Villager 10
0050	classic town hall
0051	zen town hall
0052	fairy-tale town hall
0053	modern town hall
0054	classic train station
0055	zen train station
0056	fairy-tale train station
0057	modern train station
0058	recycle shop
0059	town plaza
005A	railroad crossing arms
005B	bulletin board
005C	island storage bin
005D	dock
005E	Katrina's Tent
005F	Camper's Tent
0060	Redd's Tent
0061	Chip's Tent
0062	Nat's Tent
0063	Franklin's Table
0064	Pavé's Dance Stage
0065	Countdown Board
0066	Redd's Stand
0067	Dream World Bed
006B	New Years Day face cutout standee
006C	??? face cutout standee (6C)
006D	??? face cutout standee (6D)
006E	Groundhog Day face cutout standee
006F	Bean day? face cutout standee
0070	??? face cutout standee (70)
0071	Empty?
0072	St. Patrick's Day face cutout standee
0073	??? face cutout standee (73)
0074	Earth Day face cutout standee
0075	Carp Banner? face cutout standee
0076	??? face cutout standee (76)
0077	Flowers face cutout standee
0078	??? face cutout standee (78)
0079	??? face cutout standee (79)
007A	Labor Day face cutout standee
007B	??? face cutout standee (7B)
007C	??? face cutout standee (7C)
007D	Explorer's Day face cutout standee
007E	Toy Day? face cutout standee
007F	??? face cutout standee (7F)
0080	Dream Suite door
0081	Main Street door? (81)
0082	Main Street door? (82)
0083	Nookling Junction door
0084	Museum donation board
0085	Garden Shop door
0086	Main Street door? (86)
0087	Able Sisters door
0088	Labelle's door
0089	Nook's Homes door
008A	Post Office door
008D	Photo Booth
008E	Main Street lamp
008F	Main Street bench (facing right)
00FC	(None)
